,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
0,0.7678,0.8073,0.7457,0.7485,0.75,0.7501,0.7485,0.8034,0.7824
1,0.7669,0.7886,0.7452,0.7466,0.7462,0.7462,0.7466,0.7929,0.794
2,0.7713,0.789,0.7454,0.7458,0.7446,0.7446,0.7458,0.7979,0.7849
3,0.7748,0.799,0.7528,0.7556,0.7547,0.7547,0.755,0.8003,0.7828
4,0.767,0.7948,0.7411,0.7421,0.7437,0.7437,0.7421,0.7922,0.7778
5,0.765,0.7839,0.7192,0.7348,0.7349,0.7349,0.7349,0.7948,0.771
6,0.7639,0.7894,0.741,0.7415,0.742,0.7421,0.742,0.788,0.7832
7,0.7598,0.7925,0.7399,0.7401,0.7406,0.7403,0.7406,0.7966,0.7886
8,0.7601,0.7905,0.7393,0.7391,0.7395,0.7389,0.7395,0.7941,0.7758
9,0.7613,0.7983,0.7453,0.7452,0.7434,0.7434,0.7454,0.7926,0.7885
10,0.7423,0.7825,0.707,0.7263,0.7307,0.7307,0.7264,0.7791,0.774
11,0.7739,0.8002,0.7467,0.7489,0.7487,0.7487,0.7489,0.7974,0.7942
12,0.7693,0.7975,0.7452,0.7485,0.7459,0.7459,0.7484,0.8027,0.7923
13,0.7632,0.7944,0.7481,0.748,0.7477,0.7477,0.7481,0.7911,0.7853
14,0.7656,0.7983,0.7474,0.7472,0.7465,0.7472,0.7474,0.8004,0.7903
15,0.7677,0.8032,0.753,0.7533,0.7516,0.7516,0.7532,0.7993,0.7854
16,0.7499,0.7851,0.7268,0.7269,0.7255,0.7266,0.7269,0.7866,0.7668
17,0.7491,0.7867,0.7252,0.7219,0.7256,0.7253,0.7219,0.7896,0.7696
18,0.7642,0.7941,0.7249,0.7436,0.7406,0.7406,0.7436,0.7998,0.7855
19,0.7662,0.7957,0.7426,0.7433,0.7444,0.7445,0.7432,0.7839,0.7814
20,0.7417,0.7848,0.7194,0.7315,0.7164,0.7164,0.7305,0.7435,0.7313
21,0.7392,0.7825,0.7178,0.7206,0.7329,0.7333,0.7206,0.7577,0.7284
22,0.7529,0.7925,0.7252,0.7264,0.7507,0.7442,0.7264,0.7692,0.8093
23,0.7667,0.7869,0.7127,0.7342,0.7449,0.7471,0.7341,0.761,0.7709
24,0.7398,0.7858,0.7263,0.7352,0.7227,0.7227,0.7352,0.7468,0.7395
25,0.746,0.7835,0.734,0.744,0.7185,0.7185,0.7442,0.7529,0.7444
26,0.7512,0.7933,0.7383,0.7469,0.7245,0.7245,0.7464,0.756,0.7518
27,0.754,0.7867,0.7362,0.7447,0.7264,0.7264,0.7436,0.7546,0.7457
28,0.7572,0.7899,0.7379,0.738,0.7465,0.7479,0.7374,0.7698,0.7454
29,0.7338,0.7695,0.7267,0.7282,0.7174,0.7174,0.7282,0.7407,0.7286
30,0.7324,0.7717,0.7239,0.731,0.708,0.708,0.7311,0.7424,0.7363
31,0.7519,0.7973,0.7415,0.7478,0.7402,0.7402,0.7478,0.7748,0.7484
32,0.753,0.7837,0.745,0.7316,0.7339,0.7352,0.7316,0.7639,0.7515
33,0.7337,0.7812,0.7224,0.7265,0.7138,0.7138,0.7264,0.7389,0.7318
34,0.7614,0.801,0.7494,0.7568,0.7454,0.7454,0.7577,0.7675,0.7602
35,0.7298,0.7701,0.7237,0.725,0.7182,0.7182,0.7244,0.7371,0.7302
36,0.7204,0.7755,0.7016,0.7097,0.7246,0.7279,0.7096,0.7522,0.7103
37,0.7298,0.7751,0.72,0.7264,0.7114,0.7114,0.7263,0.738,0.7265
38,0.7604,0.7788,0.7468,0.7578,0.7376,0.7376,0.7578,0.7648,0.7617
39,0.7365,0.7623,0.7234,0.7311,0.7119,0.7119,0.731,0.7427,0.7364
40,0.7534,0.7857,0.7143,0.733,0.733,0.733,0.733,0.7846,0.7786
41,0.7524,0.7751,0.7277,0.7198,0.7215,0.7208,0.7197,0.7729,0.7633
42,0.7617,0.791,0.738,0.738,0.738,0.7389,0.738,0.7939,0.7815
43,0.7631,0.7934,0.7433,0.7436,0.7451,0.7454,0.7436,0.7947,0.7789
44,0.7485,0.7804,0.7334,0.7255,0.73,0.7297,0.7257,0.7852,0.7667
45,0.7578,0.7992,0.7463,0.7472,0.7469,0.7472,0.7473,0.7933,0.7871
46,0.7764,0.7918,0.7523,0.7526,0.7518,0.7526,0.7525,0.8081,0.7905
47,0.7633,0.7874,0.7424,0.7427,0.7417,0.7417,0.7429,0.7938,0.7785
48,0.7599,0.7899,0.7171,0.7361,0.7358,0.7391,0.7361,0.7949,0.7755
49,0.7576,0.7894,0.7163,0.7356,0.7348,0.7354,0.7357,0.7932,0.7856
50,0.7589,0.8004,0.738,0.7387,0.738,0.738,0.7387,0.7895,0.7781
51,0.7716,0.7909,0.7424,0.7427,0.7427,0.7441,0.7429,0.7871,0.7761
52,0.7706,0.7948,0.7493,0.7504,0.7504,0.7501,0.7504,0.7893,0.7932
53,0.7601,0.7904,0.7197,0.7371,0.7358,0.7371,0.7372,0.7831,0.7735
54,0.7778,0.8033,0.7545,0.7606,0.7626,0.7626,0.7608,0.805,0.7909
55,0.7633,0.7971,0.7537,0.7556,0.756,0.7567,0.7555,0.8074,0.7865
56,0.7646,0.7903,0.738,0.7375,0.7392,0.7393,0.7379,0.7974,0.7737
57,0.7646,0.7994,0.742,0.7451,0.741,0.741,0.7451,0.795,0.7856
58,0.7731,0.793,0.7519,0.7526,0.7519,0.7526,0.7526,0.7977,0.7829
59,0.7592,0.7858,0.7362,0.7365,0.7361,0.7361,0.7365,0.7884,0.7756
60,0.7598,0.789,0.7183,0.7357,0.7346,0.7369,0.7357,0.7876,0.7812
61,0.7728,0.8076,0.7437,0.7504,0.7513,0.7513,0.7507,0.79,0.7832
62,0.7631,0.7988,0.7391,0.7393,0.7393,0.7399,0.7394,0.7926,0.7779
63,0.7655,0.8066,0.7449,0.7451,0.7441,0.7441,0.745,0.7885,0.7867
64,0.7577,0.7993,0.7359,0.7361,0.7369,0.739,0.736,0.7871,0.7772
65,0.7502,0.7892,0.7364,0.7337,0.7349,0.7351,0.7332,0.7961,0.7756
66,0.7484,0.7956,0.7079,0.7283,0.7305,0.7305,0.7284,0.7877,0.7765
67,0.7678,0.7983,0.7436,0.7481,0.7489,0.7498,0.7492,0.798,0.7877
68,0.7504,0.7854,0.72,0.7292,0.7286,0.7291,0.729,0.7951,0.7693
69,0.7618,0.797,0.7181,0.7418,0.7429,0.7429,0.7415,0.778,0.7789
70,0.7606,0.7946,0.736,0.7364,0.7375,0.738,0.7365,0.7958,0.7715
71,0.7648,0.7866,0.7337,0.7349,0.737,0.7367,0.7349,0.7928,0.7762
72,0.746,0.7933,0.7093,0.7253,0.7309,0.7309,0.7253,0.7879,0.7642
73,0.7572,0.8002,0.7383,0.7387,0.7375,0.7386,0.7387,0.7962,0.7829
74,0.7576,0.7768,0.7337,0.7342,0.7364,0.7366,0.734,0.7874,0.7746
75,0.7623,0.7894,0.7407,0.7359,0.7358,0.7358,0.7361,0.7873,0.7731
76,0.7567,0.7922,0.7382,0.7383,0.7401,0.7406,0.7384,0.7843,0.7797
77,0.7499,0.7915,0.729,0.7292,0.7267,0.7291,0.7292,0.7953,0.7703
