,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
0,0.5972,0.6024,0.6099,0.6287,0.6142,0.6178,0.5718,0.6196,0.6275
1,0.6329,0.6294,0.6524,0.6594,0.6406,0.6394,0.6053,0.6547,0.6518
2,0.6015,0.6045,0.599,0.6119,0.6045,0.6045,0.5678,0.6198,0.6253
3,0.5775,0.5954,0.5998,0.6158,0.601,0.6072,0.5571,0.6022,0.6115
4,0.6097,0.6091,0.6049,0.6241,0.6139,0.6265,0.5863,0.6247,0.6295
5,0.5883,0.5957,0.6117,0.6222,0.6043,0.6056,0.566,0.608,0.6222
6,0.5909,0.5856,0.5952,0.6009,0.5877,0.5918,0.5589,0.6128,0.6178
7,0.61,0.6213,0.619,0.6118,0.6243,0.6237,0.5886,0.6297,0.6321
8,0.6084,0.6163,0.6217,0.6158,0.6181,0.6163,0.5744,0.6175,0.623
9,0.5953,0.5995,0.6093,0.6293,0.6013,0.6159,0.58,0.6202,0.6226
10,0.6138,0.6255,0.6237,0.6058,0.6319,0.6303,0.5868,0.619,0.6219
11,0.5774,0.5953,0.5969,0.5978,0.5941,0.5928,0.5637,0.6095,0.612
12,0.6002,0.5923,0.6063,0.6082,0.5899,0.6094,0.5561,0.6149,0.6216
13,0.5991,0.5991,0.6187,0.6205,0.5985,0.6101,0.569,0.6132,0.6229
14,0.6062,0.6158,0.611,0.6171,0.608,0.6205,0.5709,0.6165,0.611
15,0.6082,0.607,0.6197,0.6336,0.6125,0.6143,0.5683,0.6264,0.6282
16,0.6193,0.6203,0.6175,0.6223,0.6209,0.6229,0.5913,0.6354,0.6366
17,0.6157,0.6008,0.6175,0.6246,0.6115,0.6127,0.5925,0.6294,0.6258
18,0.6002,0.6012,0.5886,0.591,0.5988,0.6052,0.5621,0.6046,0.6144
19,0.5985,0.6026,0.5923,0.5936,0.6094,0.6164,0.5588,0.6072,0.6084
20,0.59,0.5832,0.6019,0.6199,0.5969,0.6,0.562,0.6112,0.6174
21,0.5963,0.6012,0.6062,0.6049,0.6012,0.6049,0.5667,0.6142,0.6099
22,0.5928,0.6033,0.5836,0.6046,0.5978,0.6046,0.5546,0.6027,0.6058
23,0.6089,0.6186,0.6089,0.6095,0.6186,0.615,0.5745,0.6192,0.6252
24,0.5995,0.615,0.6193,0.615,0.6032,0.6046,0.5717,0.6181,0.6193
25,0.5936,0.593,0.6102,0.593,0.6127,0.6164,0.5665,0.6131,0.6201
26,0.5943,0.603,0.6023,0.5993,0.5986,0.603,0.5573,0.603,0.6021
27,0.5848,0.5973,0.596,0.596,0.6016,0.6041,0.553,0.6029,0.6097
28,0.6381,0.6392,0.6398,0.6381,0.6392,0.6343,0.6065,0.6445,0.648
29,0.5826,0.6025,0.5895,0.6062,0.5901,0.5938,0.5586,0.6037,0.6074
30,0.6062,0.6104,0.6393,0.6188,0.6116,0.6267,0.5846,0.6267,0.6321
31,0.617,0.6103,0.6312,0.626,0.626,0.6272,0.5929,0.632,0.6404
32,0.5944,0.5968,0.6005,0.6084,0.5999,0.5999,0.5718,0.6219,0.6286
33,0.6084,0.606,0.6041,0.609,0.6133,0.6133,0.5728,0.6157,0.6255
34,0.5934,0.5983,0.6096,0.6262,0.6053,0.608,0.5722,0.6165,0.628
35,0.5797,0.5885,0.5886,0.6273,0.6035,0.6033,0.556,0.6035,0.6066
36,0.5999,0.6102,0.606,0.606,0.6072,0.6145,0.5786,0.6175,0.6197
37,0.6004,0.612,0.6133,0.6219,0.6059,0.6041,0.5678,0.6163,0.6194
38,0.6105,0.6213,0.6123,0.6334,0.6241,0.6289,0.5882,0.6285,0.6291
39,0.5985,0.6112,0.6152,0.6173,0.6119,0.6137,0.5786,0.61,0.6191
40,0.6165,0.6243,0.6278,0.6243,0.6264,0.638,0.5926,0.6404,0.6398
41,0.613,0.6266,0.629,0.6272,0.629,0.6338,0.5933,0.6344,0.6445
42,0.6137,0.6119,0.6174,0.6266,0.6094,0.6174,0.5868,0.6211,0.6252
43,0.6068,0.6105,0.6056,0.6224,0.6159,0.622,0.5806,0.6184,0.6226
44,0.613,0.5937,0.6317,0.6209,0.61,0.6209,0.5817,0.6317,0.6305
45,0.6159,0.611,0.6244,0.6274,0.6238,0.6244,0.5921,0.6402,0.6439
46,0.5959,0.5953,0.6033,0.6231,0.5975,0.6076,0.5676,0.6148,0.6151
47,0.5931,0.5925,0.5981,0.5875,0.595,0.5887,0.5514,0.605,0.6107
48,0.6186,0.6235,0.6162,0.6326,0.6338,0.6416,0.5969,0.6332,0.632
49,0.6233,0.6164,0.6209,0.627,0.6209,0.6298,0.582,0.6233,0.6337
50,0.5996,0.61,0.613,0.6215,0.6069,0.61,0.5832,0.6191,0.6245
51,0.5993,0.6152,0.6213,0.6146,0.615,0.6152,0.5803,0.6303,0.633
52,0.6034,0.6053,0.6071,0.6126,0.6077,0.6157,0.5747,0.6144,0.6163
53,0.6209,0.6221,0.6209,0.6414,0.6288,0.6258,0.5957,0.6306,0.6444
54,0.5963,0.5957,0.5994,0.646,0.5988,0.6118,0.5615,0.6149,0.6199
55,0.6146,0.6231,0.6303,0.6319,0.6279,0.6333,0.5901,0.638,0.6363
56,0.6038,0.6001,0.6081,0.602,0.6106,0.6124,0.5676,0.6162,0.6204
57,0.6107,0.6203,0.6273,0.6461,0.6149,0.6227,0.5891,0.6335,0.6437
58,0.606,0.606,0.6215,0.6332,0.6104,0.6165,0.5703,0.6252,0.6264
59,0.6183,0.6177,0.6311,0.6329,0.6232,0.6286,0.5953,0.6335,0.6347
60,0.5843,0.5861,0.607,0.5941,0.5966,0.6009,0.5604,0.6082,0.6186
61,0.6111,0.6153,0.6326,0.6177,0.6207,0.6308,0.5818,0.6254,0.6332
62,0.5794,0.5825,0.5931,0.5962,0.5825,0.5962,0.5412,0.5931,0.5962
63,0.617,0.6182,0.626,0.6467,0.6342,0.6289,0.5849,0.6312,0.6318
64,0.599,0.6086,0.6146,0.6272,0.6074,0.6128,0.5757,0.6236,0.6266
65,0.5905,0.5973,0.6125,0.6214,0.6041,0.6072,0.5582,0.6115,0.6109
66,0.5784,0.5976,0.5772,0.6014,0.5865,0.6036,0.5518,0.6001,0.6001
67,0.5961,0.6016,0.604,0.5906,0.6095,0.6221,0.5638,0.6174,0.619
68,0.5933,0.5963,0.6073,0.6067,0.6018,0.5994,0.5665,0.6183,0.6232
69,0.583,0.5984,0.6027,0.5996,0.5904,0.6009,0.5527,0.5972,0.6015
70,0.6056,0.5971,0.605,0.605,0.6105,0.6123,0.5685,0.6166,0.6121
71,0.6109,0.6097,0.6236,0.6205,0.6211,0.6175,0.5819,0.6254,0.636
72,0.5864,0.5956,0.5919,0.5993,0.5956,0.6103,0.5631,0.6023,0.6091
73,0.5792,0.5978,0.5934,0.5978,0.6019,0.6077,0.5526,0.6052,0.6033
74,0.5935,0.5972,0.6009,0.6076,0.5917,0.5984,0.5652,0.6179,0.6277
