,CBLOF,FeatureBagging,HBOS,IForest,KNN,AverageKNN,MCD,OCSVM,PCA
0,0.4289,0.4391,0.4504,0.4599,0.4466,0.4553,0.3759,0.4549,0.459
1,0.4504,0.4452,0.4893,0.4862,0.4568,0.4551,0.3968,0.4768,0.4741
2,0.4363,0.4412,0.4488,0.448,0.4403,0.444,0.3887,0.4593,0.464
3,0.4236,0.4428,0.4408,0.4812,0.4543,0.4665,0.3854,0.4544,0.4525
4,0.4292,0.4273,0.4298,0.451,0.4324,0.4452,0.3772,0.4492,0.4421
5,0.435,0.4376,0.467,0.4727,0.4539,0.4575,0.3935,0.4584,0.4618
6,0.4453,0.4549,0.4634,0.4745,0.4541,0.463,0.3982,0.4772,0.4727
7,0.4199,0.44,0.4212,0.4287,0.4423,0.4446,0.3815,0.4437,0.4425
8,0.435,0.4513,0.4554,0.4485,0.4444,0.4512,0.3852,0.4497,0.4531
9,0.4304,0.4367,0.4583,0.4837,0.436,0.4501,0.3949,0.463,0.4683
10,0.4337,0.4415,0.4411,0.4155,0.4421,0.4538,0.3798,0.4362,0.4363
11,0.4218,0.437,0.4398,0.4352,0.443,0.4495,0.393,0.4544,0.4579
12,0.4316,0.4281,0.4524,0.4525,0.4336,0.4457,0.3743,0.4557,0.4603
13,0.4317,0.4363,0.459,0.4666,0.4296,0.4403,0.3823,0.452,0.457
14,0.4312,0.4528,0.4429,0.4432,0.4449,0.4557,0.3845,0.445,0.4372
15,0.4366,0.4433,0.4493,0.4867,0.4411,0.4423,0.3743,0.461,0.4657
16,0.4472,0.4362,0.4411,0.4437,0.4441,0.448,0.3947,0.4627,0.4616
17,0.4236,0.405,0.4265,0.4324,0.4146,0.4196,0.3806,0.442,0.4368
18,0.4368,0.4337,0.4377,0.4237,0.4362,0.4399,0.383,0.4492,0.4575
19,0.4375,0.446,0.4363,0.4442,0.4572,0.4634,0.3869,0.4556,0.4557
20,0.4528,0.4375,0.4723,0.4913,0.4612,0.4627,0.3996,0.4751,0.4737
21,0.4425,0.4562,0.461,0.4672,0.4565,0.468,0.3991,0.4704,0.465
22,0.4361,0.443,0.432,0.4505,0.4489,0.4583,0.3744,0.454,0.449
23,0.4304,0.4493,0.4363,0.4409,0.4397,0.4513,0.3788,0.4515,0.4489
24,0.4463,0.4516,0.455,0.4704,0.4521,0.4564,0.3882,0.4655,0.4684
25,0.4373,0.4249,0.467,0.4434,0.4537,0.4598,0.3939,0.459,0.4675
26,0.4487,0.4462,0.453,0.4465,0.4565,0.4686,0.3836,0.4563,0.4437
27,0.4383,0.4441,0.4556,0.4424,0.4553,0.4612,0.3859,0.4572,0.4639
28,0.4474,0.4544,0.4485,0.4428,0.4507,0.4466,0.3905,0.4585,0.4539
